2123 2
Agfa_DC-733s_0_453.JPG 61.639790 48.582386
Agfa_DC-733s_0_452.JPG 61.630402 48.529675
Agfa_DC-733s_0_454.JPG 60.962547 44.567684
Agfa_DC-733s_0_456.JPG 61.706280 48.468285
Agfa_DC-733s_0_457.JPG 61.648369 48.107140
Agfa_DC-733s_0_458.JPG 61.026291 44.562771
Agfa_DC-733s_0_459.JPG 61.004135 44.557991
Agfa_DC-733s_0_460.JPG 61.033764 44.526974
Agfa_DC-733s_0_461.JPG 60.989674 44.595287
Agfa_DC-733s_0_462.JPG 61.677437 48.488140
Agfa_DC-733s_0_463.JPG 61.690319 48.369766
Agfa_DC-733s_0_464.JPG 61.827328 48.438530
Agfa_DC-733s_0_465.JPG 61.792202 48.057659
Agfa_DC-733s_0_466.JPG 61.068531 44.509266
Agfa_DC-733s_0_467.JPG 60.863361 46.650509
Agfa_DC-733s_0_468.JPG 33.548176 38.357651
Agfa_DC-733s_0_469.JPG 26.763975 27.337017
Agfa_DC-733s_0_470.JPG 61.768623 48.536255
Agfa_DC-733s_0_471.JPG 61.778011 48.285259
Agfa_DC-733s_0_472.JPG 60.884647 44.700119
Agfa_DC-733s_0_473.JPG 61.418213 47.712940
Agfa_DC-733s_0_474.JPG 61.442230 47.480728
Agfa_DC-733s_0_475.JPG 57.888844 43.660030
Agfa_DC-733s_0_476.JPG 61.725132 48.440205
Agfa_DC-733s_0_477.JPG 61.609932 48.272858
Agfa_DC-733s_0_478.JPG 60.917854 44.486786
Agfa_DC-733s_0_479.JPG 61.656456 48.166531
Agfa_DC-733s_0_480.JPG 61.749939 48.605289
Agfa_DC-733s_0_481.JPG 61.037735 44.605373
Agfa_DC-733s_0_482.JPG 61.886166 48.278950
Agfa_DC-733s_0_483.JPG 61.667873 48.687408
Agfa_DC-733s_0_484.JPG 60.901012 44.496391
Agfa_DC-733s_0_485.JPG 61.064297 44.595963
Agfa_DC-733s_0_486.JPG 61.884331 48.652935
Agfa_DC-733s_0_487.JPG 61.620243 48.256035
Agfa_DC-733s_0_488.JPG 61.011868 44.611374
Agfa_DC-733s_0_489.JPG 61.594959 48.181938
Agfa_DC-733s_0_490.JPG 61.844807 48.571651
Agfa_DC-733s_0_491.JPG 60.972500 44.608097
Agfa_DC-733s_0_492.JPG 61.843250 48.688457
Agfa_DC-733s_0_493.JPG 61.524296 48.103462
Agfa_DC-733s_0_494.JPG 61.011063 44.523472
Agfa_DC-733s_0_495.JPG 61.290718 47.193001
Agfa_DC-733s_0_496.JPG 62.344204 48.283432
Agfa_DC-733s_0_497.JPG 61.468079 44.961109
Agfa_DC-733s_0_498.JPG 29.100203 29.577387
Agfa_DC-733s_0_499.JPG 35.133152 35.043308
Agfa_DC-733s_0_500.JPG 59.110298 47.314789
Agfa_DC-733s_0_501.JPG 59.050163 46.945168
Agfa_DC-733s_0_502.JPG 60.132130 46.596382
Agfa_DC-733s_0_503.JPG 24.856441 34.586174
Agfa_DC-733s_0_504.JPG 60.440643 45.404491
Agfa_DC-733s_0_505.JPG 61.512318 47.402287
Agfa_DC-733s_0_506.JPG 62.441525 48.106777
Agfa_DC-733s_0_507.JPG 61.990715 48.573589
Agfa_DC-733s_0_508.JPG 61.890530 47.755939
Agfa_DC-733s_0_509.JPG 61.194256 44.416145
Agfa_DC-733s_0_510.JPG 61.336243 47.894314
Agfa_DC-733s_0_511.JPG 61.706177 48.759922
Agfa_DC-733s_0_512.JPG 61.106968 44.426479
Agfa_DC-733s_0_513.JPG 62.188675 48.868534
Agfa_DC-733s_0_514.JPG 62.189262 47.453037
Agfa_DC-733s_0_515.JPG 60.950916 44.774811
Agfa_DC-733s_0_516.JPG 61.125195 44.661842
Agfa_DC-733s_0_517.JPG 62.056564 47.731335
Agfa_DC-733s_0_518.JPG 62.273182 48.514015
Agfa_DC-733s_0_519.JPG 61.158073 49.004406
Agfa_DC-733s_0_520.JPG 61.006744 47.604649
Agfa_DC-733s_0_521.JPG 61.133171 44.772869
Agfa_DC-733s_0_522.JPG 61.238098 45.373062
Agfa_DC-733s_0_523.JPG 62.111996 48.398666
Agfa_DC-733s_0_524.JPG 61.153885 47.367645
Agfa_DC-733s_0_525.JPG 61.515820 48.610928
Agfa_DC-733s_0_526.JPG 61.188591 47.746517
Agfa_DC-733s_0_527.JPG 60.804119 44.656029
Agfa_DC-733s_0_528.JPG 61.133587 49.049129
Agfa_DC-733s_0_529.JPG 60.804169 47.932705
Agfa_DC-733s_0_530.JPG 60.631153 44.842445
Agfa_DC-733s_0_531.JPG 61.444237 48.955860
Agfa_DC-733s_0_532.JPG 60.957176 47.665272
Agfa_DC-733s_0_533.JPG 61.371761 44.884739
Agfa_DC-733s_0_534.JPG 61.499378 46.782562
Agfa_DC-733s_0_535.JPG 61.964245 46.809967
Agfa_DC-733s_0_536.JPG 61.200653 44.843571
Agfa_DC-733s_0_537.JPG 57.339359 43.597324
Agfa_DC-733s_0_538.JPG 59.912037 46.629143
Agfa_DC-733s_0_539.JPG 57.291279 46.889343
Agfa_DC-733s_0_540.JPG 62.558113 47.718464
Agfa_DC-733s_0_541.JPG 61.613064 47.221004
