"Cameras","feature1","feature2","feature3","log_lik1","log_lik2","log_lik3","log_lik4","clus_prob1","clus_prob2","clus_prob3","clus_prob4","cluster_labels"
"Pentax_OptioA40_0_30522.JPG",78.288506,93.08606,-11.95415,-499.514593117665,-2.99253571197925,-145.72410702316,-262.628418076138,6.21268413935526e-08,0.999999813619476,6.21268413935526e-08,6.21268413935526e-08,1
"Pentax_OptioA40_0_30521.JPG",78.277802,93.11512,-12.056521,-501.562845705663,-2.97750587315736,-146.44066129844,-263.369122439241,6.12000672883433e-08,0.999999816399798,6.12000672883433e-08,6.12000672883433e-08,1
"Pentax_OptioA40_0_30523.JPG",78.328484,93.017654,-11.628564,-493.697456826054,-3.04562661158273,-143.671660964574,-260.555900124681,6.55143373919878e-08,0.999999803456988,6.55143373919878e-08,6.55143373919878e-08,1
"Pentax_OptioA40_0_30524.JPG",78.419769,93.015839,-11.431114,-491.886252523608,-3.09452693028235,-142.876404476671,-259.633422372839,6.87976313115298e-08,0.999999793607106,6.87976313115298e-08,6.87976313115298e-08,1
"Pentax_OptioA40_0_30525.JPG",78.434494,93.035713,-12.070139,-501.608268230002,-2.9974507442565,-146.161725618448,-262.259289505458,6.24329483946916e-08,0.999999812701155,6.24329483946916e-08,6.24329483946916e-08,1
"Pentax_OptioA40_0_30526.JPG",78.404297,92.988655,-11.973135,-498.766661911622,-3.00302204854382,-145.258543491449,-261.41713657466,6.27817520037022e-08,0.999999811654744,6.27817520037022e-08,6.27817520037022e-08,1
"Pentax_OptioA40_0_30527.JPG",78.479263,92.974022,-11.713002,-495.526868465864,-3.05580955109372,-144.005008920152,-260.118225281125,6.6184873972748e-08,0.999999801445378,6.6184873972748e-08,6.6184873972748e-08,1
"Pentax_OptioA40_0_30528.JPG",78.513878,92.930328,-11.391173,-490.364535592156,-3.1121022660537,-142.186503852585,-258.375977262741,7.00174604977206e-08,0.999999789947619,7.00174604977206e-08,7.00174604977206e-08,1
"Pentax_OptioA40_0_30529.JPG",78.23513,93.149933,-12.053324,-501.873543651574,-2.97311827142343,-146.623920761366,-263.819841715333,6.09321340544326e-08,0.999999817203598,6.09321340544326e-08,6.09321340544326e-08,1
"Pentax_OptioA40_0_30530.JPG",78.303612,93.09256,-11.941436,-499.649322670475,-2.99759127120843,-145.739019255778,-262.62244335271,6.24417225209243e-08,0.999999812674833,6.24417225209243e-08,6.24417225209243e-08,1
"Pentax_OptioA40_0_30531.JPG",78.393517,92.988762,-11.527398,-492.308317631029,-3.07168479762511,-143.07561339868,-259.740162383401,6.72439592583372e-08,0.999999798268122,6.72439592583372e-08,6.72439592583372e-08,1
"Pentax_OptioA40_0_30532.JPG",78.285278,93.042824,-11.222439,-488.157511980978,-3.10878845732804,-141.87032684748,-259.420199736357,6.97858201088899e-08,0.99999979064254,6.97858201088899e-08,6.97858201088899e-08,1
"Pentax_OptioA40_0_30533.JPG",78.181412,93.03801,-12.00509,-497.956236746087,-2.96276057113664,-145.411613506718,-262.498812314299,6.03042746273378e-08,0.999999819087176,6.03042746273378e-08,6.03042746273378e-08,1
